,v,w,y,fc,RL
0,23.75027,90.43413000000001,150.0,1.0,1.0
1,22.513531,88.301537,200.0,1.0,2.0
2,23.70731,90.41548,200.0,0.0,2.0
3,22.301410999999998,70.822357,70.0,2.0,2.0
4,-32.34861,151.924576,1000.0,2.0,2.0
5,23.701442999999998,90.442194,180.0,1.0,4.0
6,23.697285,90.43181700000001,250.0,1.0,2.0
7,23.70731,90.41548,400.0,1.0,2.0
8,23.761226999999998,90.42076899999999,150.0,1.0,0.0
9,23.761226999999998,90.42076899999999,350.0,3.0,2.0
10,23.701442999999998,90.442194,150.0,1.0,1.0
11,23.7658,90.3584,250.0,2.0,2.0
12,23.737285999999997,90.37161,100.0,3.0,2.0
13,23.70731,90.41548,200.0,1.0,3.0
14,23.745173,90.386421,200.0,1.0,2.0
15,27.883743,79.912247,220.0,1.0,2.0
16,23.70731,90.41548,150.0,1.0,1.0
17,23.793993,90.404274,20.0,1.0,0.0
18,24.098379,90.328712,50.0,2.0,1.0
19,23.776604000000003,90.382988,120.0,1.0,3.0
20,23.734558,90.384998,200.0,3.0,0.0
21,23.722109,90.42621199999999,80.0,3.0,5.0
22,23.761226999999998,90.42076899999999,800.0,3.0,0.0
23,23.7382,90.4143,140.0,1.0,2.0
24,23.70731,90.41548,250.0,1.0,5.0
25,23.70731,90.41548,150.0,3.0,5.0
26,23.730534,90.446159,100.0,3.0,4.0
27,23.828959,90.375672,500.0,2.0,1.0
28,23.759815,90.391319,120.0,0.0,2.0
29,23.70731,90.41548,160.0,1.0,1.0
30,23.768518,90.425641,300.0,3.0,5.0
31,12.16007,7.87021,150.0,1.0,2.0
32,23.759815,90.391319,250.0,2.0,2.0
33,23.765844,90.35836,220.0,1.0,2.0
34,23.70731,90.41548,190.0,2.0,1.0
35,33.24981,74.26156,250.0,0.0,3.0
36,23.70731,90.41548,30.0,3.0,1.0
37,23.70731,90.41548,300.0,3.0,1.0
38,24.15966117,90.64846158,250.0,1.0,2.0
39,23.873751000000002,90.396454,400.0,1.0,5.0
40,23.743617,90.426681,160.0,1.0,1.0
41,46.09124,-67.755478,0.0,0.0,0.0
42,23.838115,90.36452,150.0,0.0,3.0
43,23.70731,90.41548,200.0,1.0,4.0
44,23.741067,90.36475300000001,235.0,1.0,2.0
45,23.77195,90.410318,300.0,1.0,5.0
46,23.7822038,90.4086827,150.0,4.0,5.0
47,23.742991,90.416032,200.0,3.0,4.0
48,23.781866,90.397428,200.0,1.0,2.0
49,23.75124,90.409029,400.0,3.0,1.0
50,23.70731,90.415482,300.0,0.0,2.0
51,23.772723000000003,90.407411,300.0,2.0,1.0
52,28.350179999999998,77.28774,200.0,1.0,5.0
53,23.743926000000002,90.387736,250.0,4.0,5.0
54,23.78286,90.395439,350.0,2.0,5.0
55,23.757242,90.412399,300.0,2.0,1.0
56,23.757243,90.412399,450.0,1.0,1.0
57,23.720856,90.384846,180.0,0.0,0.0
58,33.147984,73.75367,170.0,0.0,1.0
59,40.28236,-79.69305,150.0,1.0,3.0
60,23.757129100000004,90.36851879999999,300.0,2.0,5.0
61,23.757129100000004,90.36851879999999,0.0,2.0,0.0
62,23.70731,90.41548,300.0,2.0,2.0
63,22.513531,88.301537,200.0,2.0,4.0
64,23.738078,90.372485,300.0,1.0,5.0
65,23.758861,90.35858,180.0,1.0,2.0
66,23.838510999999997,90.224784,200.0,2.0,3.0
67,23.760223,90.41156099999999,90.0,1.0,2.0
68,23.70731,90.415482,200.0,1.0,2.0
69,23.814654,90.362371,200.0,1.0,2.0
70,23.7598,90.3913,200.0,2.0,5.0
71,23.729556,90.429214,200.0,1.0,0.0
72,23.761888,90.39084100000001,500.0,2.0,2.0
73,23.70731,90.415482,300.0,2.0,5.0
74,23.708022,90.417885,300.0,2.0,2.0
75,23.7676,90.4147,300.0,2.0,0.0
76,23.732597600000002,90.4025838,1500.0,2.0,1.0
77,23.756106699999997,90.38719609999998,200.0,1.0,0.0
78,23.790579,90.365308,150.0,1.0,2.0
79,23.738078,90.372485,200.0,1.0,2.0
80,23.693846,90.455336,400.0,1.0,2.0
81,23.7718,90.3631,200.0,1.0,2.0
82,23.70731,90.41548,150.0,0.0,0.0
83,23.744602,90.411456,220.0,2.0,1.0
84,23.721389399999996,90.42992790000001,250.0,4.0,2.0
85,23.722595000000002,90.429585,200.0,4.0,2.0
86,23.70731,90.41548,500.0,1.0,0.0
87,23.80708505,90.36861281,250.0,1.0,3.0
88,23.70731,90.415482,50.0,1.0,5.0
89,23.727835,90.37404599999999,300.0,1.0,2.0
90,23.7636971,90.37069059999999,120.0,1.0,2.0
91,23.70731,90.41548,150.0,3.0,1.0
92,23.70731,90.41548,180.0,1.0,5.0
93,23.7786,90.4156,200.0,2.0,2.0
94,23.7956,90.3537,150.0,2.0,2.0
95,23.758353,90.416229,60.0,2.0,1.0
96,23.797911,90.41439100000001,300.0,2.0,1.0
97,23.7382,90.4143,300.0,2.0,4.0
98,23.780232,90.40114799999999,600.0,2.0,2.0
99,23.746188,90.38987,160.0,3.0,2.0
100,23.751791,90.385936,180.0,1.0,2.0
101,23.80708505,90.36861281,100.0,1.0,5.0
102,26.78293,82.1501,250.0,3.0,5.0
